,Unnamed: 0,trial,stimulus,prime,prime_affect,word,word_affect,responsetime,accuracy
1095,1095,1096,12,PH2,positive,comfy,positive,522,1
1096,1096,1097,24,PL1,positive,arrest,negative,789,1
1097,1097,1098,17,PL1,positive,relax,positive,626,1
1098,1098,1099,53,NL1,negative,relax,positive,727,1
1099,1099,1100,43,NH2,negative,morgue,negative,640,1
1100,1100,1101,56,NL1,negative,payday,positive,617,1
1101,1101,1102,9,PH2,positive,excite,positive,587,1
1102,1102,1103,34,NH1,negative,arrest,negative,1028,1
1103,1103,1104,2,PH1,positive,payday,positive,528,1
1104,1104,1105,36,NH1,negative,dismal,negative,536,1
1105,1105,1106,33,NH1,negative,fatal,negative,556,1
1106,1106,1107,6,PH1,positive,arrest,negative,549,1
1107,1107,1108,31,PL2,positive,fatal,negative,426,1
1108,1108,1109,7,PH1,positive,morgue,negative,506,1
1109,1109,1110,26,PL2,positive,comfy,positive,569,1
1110,1110,1111,16,PH2,positive,dismal,negative,529,1
1111,1111,1112,3,PH1,positive,relax,positive,629,1
1112,1112,1113,42,NH2,negative,arrest,negative,558,1
1113,1113,1114,49,NL1,negative,morgue,negative,463,1
1114,1114,1115,15,PH2,positive,morgue,negative,437,1
1115,1115,1116,4,PH1,positive,comfy,positive,668,1
1116,1116,1117,52,NL1,negative,arrest,negative,534,1
1117,1117,1118,11,PH2,positive,relax,positive,548,1
1118,1118,1119,37,NH1,negative,excite,positive,676,2
1119,1119,1120,22,PL1,positive,dismal,negative,598,1
1120,1120,1121,54,NL1,negative,comfy,positive,525,1
1121,1121,1122,45,NH2,negative,excite,positive,623,1
1122,1122,1123,30,PL2,positive,dismal,negative,682,1
1123,1123,1124,18,PL1,positive,comfy,positive,502,1
1124,1124,1125,48,NH2,negative,comfy,positive,408,1
1125,1125,1126,1,PH1,positive,excite,positive,608,1
1126,1126,1127,63,NL2,negative,excite,positive,539,1
1127,1127,1128,60,NL2,negative,arrest,negative,589,1
1128,1128,1129,35,NH1,negative,morgue,negative,526,1
1129,1129,1130,20,PL1,positive,payday,positive,583,1
1130,1130,1131,51,NL1,negative,fatal,negative,532,1
1131,1131,1132,44,NH2,negative,dismal,negative,429,1
1132,1132,1133,50,NL1,negative,dismal,negative,553,1
1133,1133,1134,14,PH2,positive,arrest,negative,655,1
1134,1134,1135,8,PH1,positive,dismal,negative,464,1
1135,1135,1136,46,NH2,negative,payday,positive,669,1
1136,1136,1137,47,NH2,negative,relax,positive,613,1
1137,1137,1138,40,NH1,negative,comfy,positive,560,1
1138,1138,1139,16,PH2,positive,dismal,negative,993,1
1139,1139,1140,39,NH1,negative,relax,positive,771,1
1140,1140,1141,38,NH1,negative,payday,positive,970,1
1141,1141,1142,64,NL2,negative,payday,positive,890,1
1142,1142,1143,36,NH1,negative,dismal,negative,1052,1
1143,1143,1144,49,NL1,negative,morgue,negative,1028,1
1144,1144,1145,11,PH2,positive,relax,positive,966,1
1145,1145,1146,37,NH1,negative,excite,positive,820,1
1146,1146,1147,22,PL1,positive,dismal,negative,772,1
1147,1147,1148,57,NL2,negative,morgue,negative,1094,1
1148,1148,1149,10,PH2,positive,payday,positive,1088,1
1149,1149,1150,30,PL2,positive,dismal,negative,1028,1
1150,1150,1151,53,NL1,negative,relax,positive,744,1
1151,1151,1152,24,PL1,positive,arrest,negative,1059,1
1152,1152,1153,46,NH2,negative,payday,positive,747,1
1153,1153,1154,4,PH1,positive,comfy,positive,959,1
1154,1154,1155,12,PH2,positive,comfy,positive,973,1
1155,1155,1156,28,PL2,positive,payday,positive,522,1
1156,1156,1157,48,NH2,negative,comfy,positive,737,1
1157,1157,1158,18,PL1,positive,comfy,positive,569,1
1158,1158,1159,56,NL1,negative,payday,positive,828,1
1159,1159,1160,15,PH2,positive,morgue,negative,1136,1
1160,1160,1161,21,PL1,positive,morgue,negative,1136,1
1161,1161,1162,62,NL2,negative,comfy,positive,953,1
1162,1162,1163,51,NL1,negative,fatal,negative,1112,1
1163,1163,1164,61,NL2,negative,relax,positive,864,1
1164,1164,1165,25,PL2,positive,relax,positive,924,1
1165,1165,1166,42,NH2,negative,arrest,negative,996,1
1166,1166,1167,2,PH1,positive,payday,positive,1060,1
1167,1167,1168,17,PL1,positive,relax,positive,658,1
1168,1168,1169,63,NL2,negative,excite,positive,786,1
1169,1169,1170,44,NH2,negative,dismal,negative,996,1
1170,1170,1171,33,NH1,negative,fatal,negative,1004,1
1171,1171,1172,14,PH2,positive,arrest,negative,948,1
1172,1172,1173,41,NH2,negative,fatal,negative,1026,1
1173,1173,1174,55,NL1,negative,excite,positive,923,1
1174,1174,1175,19,PL1,positive,excite,positive,723,1
1175,1175,1176,47,NH2,negative,relax,positive,766,1
1176,1176,1177,3,PH1,positive,relax,positive,565,1
1177,1177,1178,5,PH1,positive,fatal,negative,1019,1
1178,1178,1179,1,PH1,positive,excite,positive,1030,1
1179,1179,1180,54,NL1,negative,comfy,positive,831,1
1180,1180,1181,20,PL1,positive,payday,positive,616,1
1181,1181,1182,7,PH1,positive,morgue,negative,762,1
1182,1182,1183,40,NH1,negative,comfy,positive,975,1
1183,1183,1184,59,NL2,negative,fatal,negative,895,1
1184,1184,1185,26,PL2,positive,comfy,positive,759,1
1185,1185,1186,8,PH1,positive,dismal,negative,800,1
1186,1186,1187,9,PH2,positive,excite,positive,979,1
1187,1187,1188,50,NL1,negative,dismal,negative,1049,1
1188,1188,1189,60,NL2,negative,arrest,negative,942,1
1189,1189,1190,13,PH2,positive,fatal,negative,977,1
1190,1190,1191,45,NH2,negative,excite,positive,745,1
1191,1191,1192,58,NL2,negative,dismal,negative,983,1
1192,1192,1193,31,PL2,positive,fatal,negative,957,1
